Full name,Symbol letter,Electron configuration,Atomic number,Atomic mass,van der Waals radius,Atomic radius,Covalent radius,Melting point,Boiling point,First electron affinity,First ionization energy,Electronegativity Pauling,Electronegativity Allred,Electronegativity Absolute
NA,NA,NA,NA,Ang,Pm,Pm,Pm,Kelvin,Kelvin,kJ/mol,kJ/mol-1,Pauling,Allred,EV
String,String,String,Integer,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
Name,Symbol,Econfig,An,Am,Vwr,Ar,Cr,Mp,Bp,Ea1,Ie1,Enpauling,Enallred,Enabs
Hydrogen,H,1s1,1,1.00794,120,78,31,14.01,20.28,72.8,1312,2.2,2.2,7.18
Helium,He,1s2,2,4.002602,122,128,28,0.95,4.216,0,2372.3,NA,5.5,12.3
Lithium,Li,2s1,3,6.941,NA,152,128,453.69,1620,59.6,520.2,0.98,0.97,3.01
Beryllium,Be,2s2,4,9.012182,NA,113,96,1551,3243,-231,899.4,1.57,1.47,4.9
Boron,B,2s22p1,5,10.811,208,83,84,2573,3931,26.7,800.6,2.04,2.01,4.29
Carbon,C,2s22p2,6,12.011,185,77,76,3820,5100,122,1086.2,2.55,2.5,6.27
Nitrogen,N,2s22p3,7,14.00674,154,71,71,63.29,77.4,-134,1402.3,3.04,3.07,7.3
Oxygen,O,2s22p4,8,15.9994,140,NA,66,54.8,90.188,141,1313.9,3.44,3.5,7.54
Fluorine,F,2s22p5,9,18.9984032,135,70.9,57,53.53,85.01,328,1681,3.98,4.1,10.41
Neon,Ne,2s22p6,10,20.1797,160,NA,58,24.48,27.1,0,2080.6,NA,4.84,10.6
Sodium,Na,3s1,11,22.989768,231,154,166,370.96,1156.1,52.9,495.8,0.93,1.01,2.85
Magnesium,Mg,3s2,12,24.305,NA,160,141,922,1363,0,737.7,1.31,1.23,3.75
Aluminum,Al,3s23p1,13,26.981539,205,143,121,933.52,2740,42.5,577.4,1.61,1.47,3.23
Silicon,Si,3s23p2,14,28.0855,200,117,111,1683,2628,133.6,786.5,1.9,1.74,4.77
Phosphorus,P,3s23p3,15,30.973762,190,93,107,317.3,553,72,1011.7,2.19,2.06,5.62
Sulfur,S,3s23p4,16,32.066,185,104,105,386,717.824,200,999.6,2.58,2.44,6.22
Chlorine,Cl,3s23p5,17,35.4527,181,NA,102,172.17,239.18,349,1251.1,3.16,2.83,8.3
Argon,Ar,3s23p6,18,39.948,191,174,106,83.78,87.29,-1106,1520.4,NA,3.2,7.7
Potassium,K,4s1,19,39.0983,231,227,203,336.8,1047,48.4,418.8,0.82,0.91,2.42
